"Front";"Back";"Tags";"Difficulty";"Source"
"State Satz 1.3.3: 1.3. Natürliche Zahlen und vollständige Induktion.";"(i) N ist induktiv. (ii) Falls M induktiv ist und M \subset N, so ist M = N.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-3 ch-1";"3";"PDF p12; section 1.3. Natürliche Zahlen und vollständige Induktion"
"State Satz 1.3.4: Induktionsprinzip.";"If $A(1)$ is true and $\forall n\in\mathbb N: A(n)\Rightarrow A(n+1)$, then $A(n)$ is true for every $n\in\mathbb N$.\n\nUse: Used for powers, binomial identities, estimates, and recursive definitions.";"satz sec-1-3 ch-1 high-yield induktionsprinzip";"4";"PDF p12; section 1.3. Natürliche Zahlen und vollständige Induktion"
"Define natürlichen Potenzen (Def 1.3.5).";"Sei a \in K. Wir definieren die natürlichen Potenzen an, n \in N, durch (1.4) a1 = a , an+ 1 = an ·a , n \in N . ANALYSIS I-III, 2011/2013 12 In der Tat, die Menge M = {n \in N : an ist definiert} hat die Eigenschaften: 1 \in M, n \in M ⇒ n + 1 \in M, also M = N, nach Satz 1.3.3. Eine sehr nüztliche Ungleichung, die durc h Induktion bewiesen wird, ist die folgende:\n\nIntuition: This definition gives precise language for the topic of construction of natural numbers inside an ordered field, induction, powers, integers, families, sums, and products.";"definition sec-1-3 ch-1 natürlichen potenzen";"1";"PDF p13; section 1.3. Natürliche Zahlen und vollständige Induktion"
"State Satz 1.3.6: Bernoulli-Ungleichung.";"For $x\ge -1$ and $n\in\mathbb N$, $(1+x)^n\ge 1+nx$, with strict inequality for $n\ge2$ and $x\ne0$.\n\nUse: Used in estimates for sequences, exponential-type behavior, and convergence arguments.";"satz sec-1-3 ch-1 high-yield bernoulli ungleichung";"4";"PDF p14; section 1.3. Natürliche Zahlen und vollständige Induktion"
"Define unnamed definition in 1.3 (Def 1.3.7).";"Die Menge der ganzen Zahlen ist definiert durch Z := N \cup {0} \cup { − n : n \in N } = { 0, ± 1, ± 2, . . . } \subset K . (Z, + , ·) ist ein Ring, wobei die Addition und Multiplikation von der entsprechenden Operationen von K induziert sind. Wir setzen N0 := N \cup {0} . Die Menge der rationalen Zahlen ist definiert durch Q := { p q : p \in Z , q \in Z \ {0} } \subset K . Bemerkung. Einen Beweis durch Induktion kann man mit einer beliebigen g anzen Zahl anfangen. Sei q \in Z und Z(\ge q) = {n \in Z : n \ge q}. Seien A(n) Aussagen, die für n \in Z(\ge q) definiert sind. Wenn 1) A(q) richtig ist und 2) A(n) ⇒ A(n + 1) für alle n \in Z(\ge q) gilt, dann gilt A(n) für alle n \in Z(\ge q). Dies folgt leicht aus Satz 1.3.4 durch Indexverschiebung ; die Abbil- dung f : Z(\ge q) → N, f (n) = n + q − 1 ist bijektiv und f (n + 1) = f (n) + 1. Im folgenden führen wir mit Hilfe der rekursiven Definition d ie Addition und Multiplikation für eine beliebige Anzahl von Summanden bzw . Faktoren ein. Dies erlaubt es, n! und die Binomialkoeffi- zienten zu definieren. Die entsprechende Symbole, Summenze ichen und Produktzeichen \sum \prod ANALYSIS I-III, 2011/2013 13 erlauben eine abkürzende Schrei…\n\nIntuition: This definition gives precise language for the topic of construction of natural numbers inside an ordered field, induction, powers, integers, families, sums, and products.";"definition sec-1-3 ch-1";"1";"PDF p14; section 1.3. Natürliche Zahlen und vollständige Induktion"
"Define auch eine Familie von Elementen von X (Def 1.3.8).";"Seien I und X zwei Mengen. Eine Abbildung I → X , i \mapstoxi heißt auch eine Familie von Elementen von X , geschrieben ( xi)i\in I . Die Menge I heißt Indexmenge. Ist I = {1, 2, . . .,n} so heißt ( xi)i\in I = : (x1, . . .,xn) = : (xi)1\lei\len ein n-Tupel.\n\nIntuition: This definition gives precise language for the topic of construction of natural numbers inside an ordered field, induction, powers, integers, families, sums, and products.";"definition sec-1-3 ch-1";"1";"PDF p15; section 1.3. Natürliche Zahlen und vollständige Induktion"
"Define Summationsindex (Def 1.3.9).";"Für alle n \in N und alle n-Tupel ( x1, . . .,xn) von K gibt es Elemente \sumn i= 1 xi,\prodn i= 1 xi von K, rekursiv definiert durch 1\sum i= 1 xi := x1 , n+ 1\sum i= 1 xi := ( n\sum i= 1 xi ) + xn+ 1 , 1\prod i= 1 xi := x1 , n+ 1\prod i= 1 xi := ( n\prod i= 1 xi ) ·xn+ 1 . Sei I eine Indexmenge mit n Elementen, ( xi)i\in I eine Familie von Elementen von K. Sei I = {i1, . . .,i n} eine Aufzählung von I. Wir setzen \sum i\in I xi := n\sum k= 1 xi k = xi1 + . . .+ xi k , \prod i\in I xi := n\prod k= 1 xi k = xi1 + . . .+ xi k . Die Definition ist unabhängig von der Wahl der Aufzählung. Di e Menge I Der Buchstabe i heißt Summationsindex, er kann durch einen anderen Buchsta ben ersetzt werden, z. B. ist n\sum i= 1 xi = n\sum k= 1 xk . Natürlich sollte man hier nicht n als Summationsindex verwenden, da der Buchstabe bereits fü r die Gesamtzahl der Summanden in Gebrauch ist. Wir schreiben auch \sumn i= 1 xi = x1 + . . .+ xn, wenn es übersichtlicher ist. Eine nützliche Vereinbarung, die es uns oft erlaubt, Fallun terschiedungen zu vermeiden, ist die fol- gende: Die leere Summe ist 0 und das leere Produkt ist 1, d.h. (1.5) \sum i\in\emptyset xi := 0 , \prod i\in\emptyset xi := 1. Als Bei…\n\nIntuition: This definition gives precise language for the topic of construction of natural numbers inside an ordered field, induction, powers, integers, families, sums, and products.";"definition sec-1-3 ch-1";"1";"PDF p15; section 1.3. Natürliche Zahlen und vollständige Induktion"
"Define unnamed definition in 1.4 (Def 1.4.1).";"Für n \in N0 wird n! (n Fakultät) definiert durch 0! := 1, n! := 1 ·2 ·. . .·n = n\prod k= 1 k, für n \in N also 0! = 1, 1! = 1, und n! = 1 ·2 ·. . .·n für n > 1. Warum definieren wir 0! : = 1? Weil dann die Rekursion n! = n ·(n − 1)!, die offenbar für n ≥ 2 stimmt, schon für n = 1 gilt. Zudem taucht 0! in zahlreichen Formeln auf. ANALYSIS I-III, 2011/2013 14\n\nIntuition: This definition gives precise language for the topic of factorials, generalized binomial coefficients, pascal-type identities, and the binomial theorem.";"definition sec-1-4 ch-1";"1";"PDF p15; section 1.4. Fakultät, Binomialkoeffizienten und binomischer Lehrsatz"
"Define unnamed definition in 1.4 (Def 1.4.2).";"Für α \in K und k \in N0 definiert man die Binomialkoeffizienten „α über k“ durch ( α 0 ) = 1, ( α k ) := 1 k! k− 1\prod j= 0 (α − j) = α(α − 1) . . .(α − k + 1) k! für k \in N Es gilt also ( α 0 ) = 1 , ( α 1 ) = α, ( α 2 ) = α(α − 1) 2 · 31.10\n\nIntuition: This definition gives precise language for the topic of factorials, generalized binomial coefficients, pascal-type identities, and the binomial theorem.";"definition sec-1-4 ch-1";"1";"PDF p16; section 1.4. Fakultät, Binomialkoeffizienten und binomischer Lehrsatz"
"State Satz 1.4.3: Eigenschaften der Binomialkoeffizienten.";"Für α \in K und k \in N0 gilt: (1) Rekursionsformel: ( α k + 1 ) = ( α k ) α − k k + 1 (2) Additionsformel: ( α k ) + ( α k + 1 ) = ( α + 1 k + 1 ) ; (3) Für n, k \in N0 gilt ( n k ) =    n! k!(n − k)! , k \le n 0 , k > n (4) ( n k ) = ( n n − k ) für n, k \in N0 , n \ge k . Der binomischer Lehrsatz stellt eine der grundlegendsten I dentitäten der Algebra dar und bildet eine Brücke zwischen Algebra und Analysis. Im weiteren Verl auf der Vorlesung wird die binomische Formel zu einem zentralen Werkzeug für • Abschätzungen, z. B. bei der Entwicklung von (1 + x)n für kleine x, • Grenzwertentwicklungen, etwa bei der Definition der Exponentialfunktion oder beim B eweis des Grenzwertes lim n→\infty ( 1 + 1 n )n = e, Sie markiert somit den Übergang von der Algebra zur Analysis . Wir benutzen im folgenden die Definition der nullten Potenz: a0 := 1 für alle a \in K.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-4 ch-1 eigenschaften der binomialkoeffizienten";"3";"PDF p16; section 1.4. Fakultät, Binomialkoeffizienten und binomischer Lehrsatz"
"State Satz 1.4.4: Binomischer Lehrsatz.";"Für alle x, y \in K, n \in N gilt (x + y)n = ( n 0 ) xn y0 + ( n 1 ) xn− 1 y + ( n 2 ) xn− 2 y2 + . . .+ ( n n − 1 ) x yn− 1 + ( n n ) x0 yn = n\sum k= 0 ( n k ) xn− k yk . Der Satz kann als Verallgemeinerung der üblichen binomisch en Formel betrachtet werden. In der Tat besagt der Satz für n = 2, dass (x + y)2 = ( 2 0 ) x2 y0 + ( 2 1 ) x1 y1 + ( 2 2 ) x0 y2 = x2 + 2x y+ y2. Für n = 3 sieht man leicht, dass der Satz besagt, dass (x + y)3 = x3 + 3x2 y + 3x y2 + y3. ANALYSIS I-III, 2011/2013 15\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-4 ch-1 binomischer lehrsatz";"3";"PDF p16; section 1.4. Fakultät, Binomialkoeffizienten und binomischer Lehrsatz"
"Define Supremum/Infimum (Def 1.5.1).";"$s=\sup A$ means $s$ is an upper bound of $A$ and every smaller number fails to be an upper bound.\n\nIntuition: The supremum is the least ceiling, even if the set never reaches it.";"definition sec-1-5 ch-1 high-yield";"2";"PDF p18; section 1.5. Vollständigkeitsaxiom"
"Define Vollständigkeitsaxiom (Def 1.5.3).";"Every nonempty subset of $K$ that is bounded above has a supremum in $K$.\n\nIntuition: The real line has no gaps.";"definition sec-1-5 ch-1 high-yield";"2";"PDF p19; section 1.5. Vollständigkeitsaxiom"
"Define Körper der reellen Zahlen (Def 1.5.4).";"Ein vollständig angeordneter Körper K heißt Körper der reellen Zahlen , bezeichnet mit R. Um diese Definition zu rechtfertigen müssen wir zwei Fragen b eantworten. Existiert ein Körper mit diesen Eigenschaften? Inwieweit ist er eindeutig bestimmt ?\n\nIntuition: This definition gives precise language for the topic of upper/lower bounds, supremum/infimum, completeness, and the axiomatic definition of the real numbers.";"definition sec-1-5 ch-1";"1";"PDF p20; section 1.5. Vollständigkeitsaxiom"
"State Satz 1.5.5: Existenz von R; Cantor, Dedekind.";"Es gibt mindestens einen Körper der reellen Zahlen. Zum Beweis und Aufbau des Zahlsystems N \subset Z \subset Q \subset R aus den natürlichen Zahlen siehe [6] oder den Klassiker von E. Landau [14]. Die Konstruktion von Dedek ind basiert sich auf Dedekindschen Schnitte, die Konstruktion von Cantor auf Cauchy-Folgen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-5 ch-1 existenz von r";"3";"PDF p20; section 1.5. Vollständigkeitsaxiom"
"State Satz 1.5.6: Eindeutigkeit der reellen Zahlen.";"Seien K und K ′ zwei Körper der reellen Zahlen. Dann gibt es eine bijektive Abbildung \varphi : K \to K ′, so dass für alle x, y \in K gilt: (i) \varphi (x + y) = \varphi (x) + \varphi (y) (ii) \varphi (x y) = \varphi (x)\varphi (y) (iii) \varphi (1) = 1 (iv) x < y ⇒ \varphi (x) < \varphi (y). Der Satz besagt, dass es eine bijektive Abbildung \varphi : K \to K ′ gibt, die verträglich mit der algebrai- schen Strukturen und Ordnungstruktur ist. Eine solche Abbi ldung heißt Isomorphismus von total angeordneter Körpern. Wir sagen, dass R bis auf Isomorphie (von total angeordneter Körpern) ein- deutig bestimmt ist. Da für uns nur diese Strukturen wichtig sind, sprechen wir von dem Körper R. 4.11.25 1.6. Folgerungen des Vollständigkeitsaxioms.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-5 ch-1 eindeutigkeit der reellen";"3";"PDF p20; section 1.5. Vollständigkeitsaxiom"
"State Satz 1.6.1: Prinzip von Archimedes.";"For every $x\in\mathbb R$ there is $n\in\mathbb N$ with $n>x$.\n\nUse: Converts qualitative smallness into explicit natural-number thresholds.";"satz sec-1-6 ch-1 high-yield prinzip von archimedes";"4";"PDF p20; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"State Satz 1.6.2: Satz von Eudoxus.";"Zu jedem \varepsilon> 0 gibt es n \in N mit 1 n < \varepsilon.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-6 ch-1 satz von eudoxus";"3";"PDF p20; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"State Satz 1.6.3: Wohlordnungsprinzip.";"Jede nichtleere, nach oben (bzw. unten) beschränkte Teilme n- ge von Z besitzt ein Maximum (bzw. Minimum). Jede nichtleere Teilme nge von N besitzt ein Mini- mum.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-6 ch-1 wohlordnungsprinzip";"3";"PDF p21; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"Define Gauß-Klammer (Def 1.6.4).";"Zu jedem x \in R heißt die ganze Zahl ⌊x⌋:= max { k \in Z : k \le x } die Gauß-Klammer oder ganzzahliger Anteil von x (d. h. die grösste ganze Zahl, die kleiner oder gleich x ist). Wir setzen frac( x) = x − ⌊ x⌋ (fractional part). Ist x ≥ 0, so ist frac( x) der Nachkommaanteil von x. Zum Beispiel ⌊3, 2⌋ = 3, frac(3 , 2) = 0, 2 und ⌊− 3, 2⌋ = − 4, frac(− 3, 2) = 0, 8. Für alle n \in Z gilt ⌊n⌋ = n. /Bullet/Circle /Bullet/Circle /Bullet/Circle /Bullet/Circle n − 1 xn = ⌊ x⌋ n + 1\n\nIntuition: This definition gives precise language for the topic of consequences of completeness: archimedes, eudoxus, well-ordering, density of rationals, roots, intervals, nested intervals, and euler's number.";"definition sec-1-6 ch-1 gauß klammer";"1";"PDF p21; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"State Satz 1.6.5: Dichtheit von Q in R.";"If $a<b$ in $\mathbb R$, then there is $q\in\mathbb Q$ with $a<q<b$.\n\nUse: Used for approximation, interval arguments, and examples/counterexamples.";"satz sec-1-6 ch-1 high-yield dichtheit von q";"4";"PDF p21; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"State Satz 1.6.6: Existenz der k-ten Wurzel.";"Sei a \in R, a > 0, und sei k \in N. Dann gibt es genau ein x \in R mit x > 0 und xk = a, genannt k-te Wurzel von a, geschrieben x = : k\sqrta = : a1/k.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-6 ch-1 existenz der k";"3";"PDF p22; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"Define ganzzahlige und rationale Potenzen (Def 1.6.7).";"Sei a \in R eine reelle Zahl. Wir definieren die ganzzahligen Potenzen an, n \in Z, durch (1.4) falls n \in N und a0 = 1 (auch für a = 0)(1.8) an = (a− 1)− n = (1 a )− n , für a ̸= 0, n \in Z, n < 0 .(1.9) Sei a > 0. Sei (1.10) a k m := m√ ak , für k \in Z, m \in N definiert. Damit ist also aq für jedes q \in Q erklärt. Man beweist durch Induktion die Potenzgesetze: am+ n = am ·an , an ·bn = (ab)n , (am)n = amn für a, b \in K, m, n \in N0 oder a, b \in K∗ , m, n \in Z. Die Definition (1.10) hängt von der Darstellung q = k/m der rationalen Zahl q nicht ab (siehe Aufgabe 1.8.12). Dann gelten die Potenzgesetze: (1.11) aqar = aq+ r , (aq)r = aqr , für a > 0 und q, r \in Q . ANALYSIS I-III, 2011/2013 22\n\nIntuition: This definition gives precise language for the topic of consequences of completeness: archimedes, eudoxus, well-ordering, density of rationals, roots, intervals, nested intervals, and euler's number.";"definition sec-1-6 ch-1 ganzzahlige und rationale";"1";"PDF p23; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"Define Intervalle (Def 1.6.8).";"Eine Teilmenge I \subset R heißt Intervall, wenn I mit je zwei Elemen- ten x \le y auch alle Elemente z mit x \le z \le y enthält. Beispiel. Seien a, b \in R, a ≤ b. Die beschränkten Intervalle sind: (a, b) := {x \in R : a < x < b} offenes Intervall (a, b] := {x \in R : a < x \le b} halboffenes Intervall [a, b) := {x \in R : a \le x < b} halboffenes Intervall [a, b] := {x \in R : a \le x \le b} abgeschlosses Intervall Das Intervall [ a, b] heißt auch kompakt. Später werden wir allgemeine offene, abgeschlossene und kompakte Mengen definieren. Für die obige Intervalle heißt d as Element a der Anfangspunkt und das Element b der Endpunkt des Intervalls. Wie definieren die Länge eines Intervalls I mit An- fangspunkt a und Endpunkt b durch | I| := | b − a| . Die unbeschränkten Intervalle sind: (a, \infty ) := {x \in R : a < x} [a, \infty ) := {x \in R : a \le x} (−\infty , b) := {x \in R : x < b} (−\infty , b] := {x \in R : x \le b}\n\nIntuition: This definition gives precise language for the topic of consequences of completeness: archimedes, eudoxus, well-ordering, density of rationals, roots, intervals, nested intervals, and euler's number.";"definition sec-1-6 ch-1 intervalle";"1";"PDF p24; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"Define Intervallschachtelung (Def 1.6.9).";"Eine Familie (I n)n\inN von kompakten Intervallen heißt Intervallschachtelung , falls gilt: (i) I n+ 1 \subset I n für alle n \in N, und (ii) für alle \varepsilon> 0 gibt es n \in N mit | I n| < \varepsilon. a1 b1a2 b2 Beispiel: Die Familie von Intervallen I n = [0, 1 n ], n \in N, bildet eine Intervallschachtelung.\n\nIntuition: This definition gives precise language for the topic of consequences of completeness: archimedes, eudoxus, well-ordering, density of rationals, roots, intervals, nested intervals, and euler's number.";"definition sec-1-6 ch-1 intervallschachtelung";"1";"PDF p24; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"State Satz 1.6.10: Intervallschachtelungsprinzip.";"Every nested sequence of compact intervals whose lengths tend to $0$ has intersection consisting of exactly one point.\n\nUse: A concrete form of completeness used in convergence and existence proofs.";"satz sec-1-6 ch-1 high-yield intervallschachtelungsprinzip";"4";"PDF p24; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"State Satz 1.6.11: 1.6. Folgerungen des Vollständigkeitsaxioms.";"Für n \in N sei I n = [( 1 + 1 n )n , ( 1 + 1 n )n+ 1] . Dann ist (I n)n\inN eine Intervallschachtelung. Die Zahl e \in R mit \cap n\inN I n = {e} heißt Eulersche Zahl. Es gilt e = 2, 71828 . . .; e ist eine irrationale Zahl. Die Zahl e spielt eine wichtige Rolle in der Mathe- matik, sie ist die Basis des natürlichen Logarithmus und der natürlichen Exponentialfunktion. Man kann die Endpunkte der Intervalle in einer Intervallschach telung als Approximationen des Punktes in der Durchschnitt. In diesen Fall gilt I1 = [2, 4], I2 = [2 1 4 , 3 3 8 ], I3 = [64 27 , 256 81 ] = [ 2 10 27 , 3 16 81 ] , . . . 1.7. Der Körper der komplexen Zahlen. In R gibt es keine Zahl x mit x2 = − 1, da x2 \ge 0 > − 1 für alle x \in R. Wir konstruieren einen Körper, in dem die Gleichung x2 = − 1 eine Lösung hat. Auf R2 führen wir eine Addition und Multiplikation wie folgt ein: (x, y) + (u, v) := (x + u, y + v) (x, y) ·(u, v) := (xu − yv, xv + yu) .(1.12) Man veranschaulicht sich seit Gauß die komplexen Zahlen als Punkte in der Gaußschen Zahlen- bene mit rechtwinkligen Koordinaten (oder als Vektoren mit Ursp rung im Nullpunkt (0 , 0) und End- punkt in ( x, y)). Die Addition komplexer Zahlen ist dann die übl…\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-6 ch-1";"3";"PDF p25; section 1.6. Folgerungen des Vollständigkeitsaxioms"
"State Satz 1.7.1: 1.7. Der Körper der komplexen Zahlen.";"(R2, + , ·) ist ein Körper mit Nullelement (0, 0) und Einselement (1, 0). Dieser Körper heißt Körper der komplexen Zahlen , bezeichnet mit C := (R2, + , ·).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-7 ch-1";"3";"PDF p25; section 1.7. Der Körper der komplexen Zahlen"
